Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Live Like Giants,Raphael Lake,Epic Indie 3,Calm Waters,Playlist,GBBPP1853434,2N4aP9zjdw6UWxZjl1AACK
Counting On Me - Acoustic Version,Smash Into Pieces,Counting On Me,Calm Waters,Playlist,QM4TX2100754,6ujNV4wl724gRG3JLqP0er
Soñé - En Vivo,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),Calm Waters,Playlist,MXF061100003,2VhJ4nrPorAbySEgO4V0BS
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,Black Panther The Album Music From And Inspired By,Calm Waters,Playlist,USUM71713947,3GCdLUSnKSMJhs4Tj6CV3s
Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,Calm Waters,Playlist,USUG12102313,4qu63nuBpdn0qHUHuObEj1
The Sound of Silence - Acoustic Version,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Calm Waters,Playlist,USSM16401419,5y788ya4NvwhBznoDIcXwK
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),Calm Waters,Playlist,GBUM71505902,0aym2LBJBk9DAYuHHutrIl
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),Calm Waters,Playlist,USSM12103949,5HCyWlXZPP0y6Gqq8TgA20
The House of the Rising Sun (Rerecorded),The Animals,The Animals: All-Time Greatest Hits (Rerecorded Version),Calm Waters,Playlist,USDEI9605910,6pzpdOsCZJVxCKDCyAxNE3
The Experiment (with Shye),Steampianist,The Experiment (with Shye),Calm Waters,Playlist,GBSMU6009207,37DXYULJuFlYAuUC08NQ8E
Waltz In c Sharp Minor Opus 64 No. 2,Chopin Frederic,World Famous Series: Chopin Waltzes,Calm Waters,Playlist,CNF310441504,1Nf9pTBkenS7c9bTDR7urw
The Line (from the series Arcane League of Legends),Arcane,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),Calm Waters,Playlist,USA2P2459604,1QJbDTZAO8rpGOMG4UahFM
Absolution (Sign of Life),Imaginary Colors,Absolution (Sign of Life),Calm Waters,Playlist,USY242470368,6qE47tG0BKXfYx3AAv6AN7
Luna - En Vivo,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),Calm Waters,Playlist,MXF061100015,7b3k8I1fncAzbk9PHnLkbX
